word_segment,instances,prominence
འི་,116,4.004142216085606
ལ་,86,2.968588194684156
ར་,57,1.9675526406627546
ས་,47,1.6223679668622715
ནས་,41,1.4152571625819814
ལ,41,1.4152571625819814
ས,33,1.1391094235415948
༑,33,1.1391094235415948
དང་,32,1.1045909561615463
དུ་,32,1.1045909561615463
གྱི་,32,1.1045909561615463
མ་,30,1.0355540214014498
མི་,28,0.9665170866413532
རྗེ་བཙུན་,25,0.862961684501208
ཀྱི་,23,0.7939247497411116
ཞིག་,20,0.6903693476009666
ཀྱང་,19,0.6558508802209182
དེ,17,0.5868139454608216
བུ་མོ་,16,0.5522954780807732
ཆོས་,16,0.5522954780807732
སྒོམ་,16,0.5522954780807732
གི་,15,0.5177770107007249
བར་,13,0.44874007594062826
གྱིས་,13,0.44874007594062826
སེམས་,13,0.44874007594062826
དེ་,12,0.41422160856057993
ཡིན་,11,0.37970314118053156
མེད་པ,11,0.37970314118053156
རྣམས་,11,0.37970314118053156
ན་,10,0.3451846738004833
ཀྱིས་,10,0.3451846738004833
འང་,10,0.3451846738004833
ནས,10,0.3451846738004833
བདག་,10,0.3451846738004833
འདི་,10,0.3451846738004833
ཏེ,9,0.3106662064204349
ནང་,9,0.3106662064204349
གསུངས་པ,9,0.3106662064204349
འདི,9,0.3106662064204349
མེད,9,0.3106662064204349
ན,9,0.3106662064204349
མཛོད,9,0.3106662064204349
ས་ལེ་,9,0.3106662064204349
ཅན་,8,0.2761477390403866
སངས་རྒྱས་,8,0.2761477390403866
རང་,8,0.2761477390403866
ལོང་,8,0.2761477390403866
འོད་,8,0.2761477390403866
ཡང་,8,0.2761477390403866
ཏུ་,8,0.2761477390403866
ཞེས་,8,0.2761477390403866
འི,8,0.2761477390403866
སྐྱེས,8,0.2761477390403866
ལོ་,7,0.2416292716603383
གིས་,7,0.2416292716603383
བརྒྱ་ལ་,7,0.2416292716603383
ཁྱེད་,7,0.2416292716603383
ལུས་,7,0.2416292716603383
བློ་,7,0.2416292716603383
ལྷ་ཆོས་,7,0.2416292716603383
དཔེ་,7,0.2416292716603383
དོན་,7,0.2416292716603383
བསམས་,7,0.2416292716603383
འཚལ,7,0.2416292716603383
བྱུང་,6,0.20711080428028997
ཏེ་,6,0.20711080428028997
གླུ་,6,0.20711080428028997
ཙ་ན,6,0.20711080428028997
ཁྱོད་,6,0.20711080428028997
མོ,6,0.20711080428028997
ཡི,6,0.20711080428028997
ཡི་,6,0.20711080428028997
རྙེད་,6,0.20711080428028997
ཀུན་,6,0.20711080428028997
འཁོར་བ,6,0.20711080428028997
ལམ་,6,0.20711080428028997
དད་,6,0.20711080428028997
བཞིན་,6,0.20711080428028997
བུ་,6,0.20711080428028997
བླ་མ་,6,0.20711080428028997
ཤིང་,6,0.20711080428028997
སྐྱོ་བ་,6,0.20711080428028997
དེས་ན་,6,0.20711080428028997
བྱེད,6,0.20711080428028997
གཉའ་ནང་,5,0.17259233690024164
ཞིང་,5,0.17259233690024164
བཟང་པོ་,5,0.17259233690024164
བྱུང་བ་,5,0.17259233690024164
སུ་,5,0.17259233690024164
ཟེར་བ་,5,0.17259233690024164
ཉི་ཟླ་,5,0.17259233690024164
གཉིས་,5,0.17259233690024164
